Equipo,Feredación,Bombo
Qatar,AFC,1
Alemania,UEFA,2
Dinamarca,UEFA,2
Brasil,Conmebol,1
Francia,UEFA,1
Bélgica,UEFA,1
Croacia,UEFA,2
España,UEFA,1
Serbia,UEFA,3
Inglaterra,UEFA,1
Suiza,UEFA,2
Holanda,UEFA,2
Argentina,Conmebol,1
Irán,AFC,3
Corea del Sur,AFC,3
Japón,AFC,3
Arabia Saudita,AFC,4
Ecuador,Conmebol,4
Uruguay,Conmebol,2
Canadá,Concacaf,3
Ghana,CAF,4
Senegal,CAF,3
Portugal,UEFA,1
Polonia,UEFA,3
Túnez,CAF,4
Marruecos,CAF,3
Camerún,CAF,4
México,Concacaf,2
EEUU,Concacaf,2
Perú/Australia/EAU,,4
NZ/Salomón/Costa Rica,,4
Escocia/Ucrania/Gales,,4